,m_gene,m_metabolites,m_reaction,m_subsystem,u_uniprot_acc
23,PPAP2B,"['dag_hs_18_0_18_0_c', 'h2o_c', 'pi_c', 'pa_hs_18_0_18_0_c']",PPAP_18_0_18_0,platelet metabolism,O14495
24,PPAP2B,"['pa_hs_16_0_20_4_c', 'dag_hs_16_0_20_4_c', 'pi_c', 'h2o_c']",PPAP_16_0_20_4,platelet metabolism,O14495
25,PPAP2B,"['h2o_c', 'dag_hs_16_0_18_2_c', 'pi_c', 'pa_hs_16_0_18_2_c']",PPAP_16_0_18_2,platelet metabolism,O14495
26,PPAP2B,"['dag_hs_16_0_18_1_c', 'h2o_c', 'pa_hs_16_0_18_1_c', 'pi_c']",PPAP_16_0_18_1,platelet metabolism,O14495
27,PPAP2B,"['h2o_c', 'dag_hs_20_4_20_4_c', 'pa_hs_20_4_20_4_c', 'pi_c']",PPAP_20_4_20_4,platelet metabolism,O14495
28,PPAP2B,"['h2o_c', 'dag_hs_16_0_18_0_c', 'pi_c', 'pa_hs_16_0_18_0_c']",PPAP_16_0_18_0,platelet metabolism,O14495
29,PPAP2B,"['h2o_c', 'dag_hs_16_0_16_0_c', 'pi_c', 'pa_hs_16_0_16_0_c']",PPAP_16_0_16_0,platelet metabolism,O14495
30,PPAP2A,"['dag_hs_18_2_20_4_c', 'h2o_c', 'pi_c', 'pa_hs_18_2_20_4_c']",PPAP_18_2_20_4,platelet metabolism,O14494
31,PPAP2A,"['pa_hs_18_2_18_2_c', 'dag_hs_18_2_18_2_c', 'pi_c', 'h2o_c']",PPAP_18_2_18_2,platelet metabolism,O14494
32,PPAP2A,"['h2o_c', 'dag_hs_18_1_20_4_c', 'pi_c', 'pa_hs_18_1_20_4_c']",PPAP_18_1_20_4,platelet metabolism,O14494
33,PPAP2A,"['h2o_c', 'dag_hs_18_1_18_2_c', 'pa_hs_18_1_18_2_c', 'pi_c']",PPAP_18_1_18_2,platelet metabolism,O14494
34,PPAP2A,"['dag_hs_18_1_18_1_c', 'pa_hs_18_1_18_1_c', 'pi_c', 'h2o_c']",PPAP_18_1_18_1,platelet metabolism,O14494
35,PPAP2A,"['h2o_c', 'dag_hs_18_0_20_4_c', 'pa_hs_18_0_20_4_c', 'pi_c']",PPAP_18_0_20_4,platelet metabolism,O14494
36,PPAP2A,"['h2o_c', 'pa_hs_18_0_18_2_c', 'dag_hs_18_0_18_2_c', 'pi_c']",PPAP_18_0_18_2,platelet metabolism,O14494
37,PPAP2A,"['h2o_c', 'dag_hs_18_0_18_1_c', 'pi_c', 'pa_hs_18_0_18_1_c']",PPAP_18_0_18_1,platelet metabolism,O14494
38,PPAP2A,"['dag_hs_18_0_18_0_c', 'h2o_c', 'pi_c', 'pa_hs_18_0_18_0_c']",PPAP_18_0_18_0,platelet metabolism,O14494
39,PPAP2A,"['pa_hs_16_0_20_4_c', 'dag_hs_16_0_20_4_c', 'pi_c', 'h2o_c']",PPAP_16_0_20_4,platelet metabolism,O14494
40,PPAP2A,"['h2o_c', 'dag_hs_16_0_18_2_c', 'pi_c', 'pa_hs_16_0_18_2_c']",PPAP_16_0_18_2,platelet metabolism,O14494
41,PPAP2A,"['dag_hs_16_0_18_1_c', 'h2o_c', 'pa_hs_16_0_18_1_c', 'pi_c']",PPAP_16_0_18_1,platelet metabolism,O14494
42,PPAP2A,"['h2o_c', 'dag_hs_20_4_20_4_c', 'pa_hs_20_4_20_4_c', 'pi_c']",PPAP_20_4_20_4,platelet metabolism,O14494
43,PPAP2A,"['h2o_c', 'dag_hs_16_0_18_0_c', 'pi_c', 'pa_hs_16_0_18_0_c']",PPAP_16_0_18_0,platelet metabolism,O14494
44,PPAP2A,"['h2o_c', 'dag_hs_16_0_16_0_c', 'pi_c', 'pa_hs_16_0_16_0_c']",PPAP_16_0_16_0,platelet metabolism,O14494
45,AGPAT4,"['pa_hs_18_2_20_4_c', 'arachdcoa_c', 'alpha_hs_18_2_c', 'coa_c']",AGPAT1_18_2_20_4,platelet metabolism,Q9NRZ5
46,AGPAT4,"['pa_hs_18_2_20_4_c', 'arachdcoa_c', 'alpha_hs_18_2_c', 'coa_c']",AGPAT1_18_2_20_4,platelet metabolism,Q9H0P7
47,AGPAT4,"['pa_hs_18_2_18_2_c', 'coa_c', 'lnlccoa_c', 'alpha_hs_18_2_c']",AGPAT1_18_2_18_2,platelet metabolism,Q9NRZ5
48,AGPAT4,"['pa_hs_18_2_18_2_c', 'coa_c', 'lnlccoa_c', 'alpha_hs_18_2_c']",AGPAT1_18_2_18_2,platelet metabolism,Q9H0P7
49,AGPAT4,"['coa_c', 'alpha_hs_18_1_c', 'pa_hs_18_1_20_4_c', 'arachdcoa_c']",AGPAT1_18_1_20_4,platelet metabolism,Q9NRZ5
50,AGPAT4,"['coa_c', 'alpha_hs_18_1_c', 'pa_hs_18_1_20_4_c', 'arachdcoa_c']",AGPAT1_18_1_20_4,platelet metabolism,Q9H0P7
51,AGPAT4,"['alpha_hs_18_1_c', 'coa_c', 'pa_hs_18_1_18_2_c', 'lnlccoa_c']",AGPAT1_18_1_18_2,platelet metabolism,Q9NRZ5
52,AGPAT4,"['alpha_hs_18_1_c', 'coa_c', 'pa_hs_18_1_18_2_c', 'lnlccoa_c']",AGPAT1_18_1_18_2,platelet metabolism,Q9H0P7
53,AGPAT4,"['pa_hs_18_1_18_1_c', 'coa_c', 'odecoa_c', 'alpha_hs_18_1_c']",AGPAT1_18_1_18_1,platelet metabolism,Q9NRZ5
54,AGPAT4,"['pa_hs_18_1_18_1_c', 'coa_c', 'odecoa_c', 'alpha_hs_18_1_c']",AGPAT1_18_1_18_1,platelet metabolism,Q9H0P7
55,AGPAT4,"['coa_c', 'pa_hs_18_0_20_4_c', 'arachdcoa_c', 'alpha_hs_18_0_c']",AGPAT1_18_0_20_4,platelet metabolism,Q9NRZ5
56,AGPAT4,"['coa_c', 'pa_hs_18_0_20_4_c', 'arachdcoa_c', 'alpha_hs_18_0_c']",AGPAT1_18_0_20_4,platelet metabolism,Q9H0P7
57,AGPAT4,"['coa_c', 'pa_hs_18_0_18_2_c', 'alpha_hs_18_0_c', 'lnlccoa_c']",AGPAT1_18_0_18_2,platelet metabolism,Q9NRZ5
58,AGPAT4,"['coa_c', 'pa_hs_18_0_18_2_c', 'alpha_hs_18_0_c', 'lnlccoa_c']",AGPAT1_18_0_18_2,platelet metabolism,Q9H0P7
59,AGPAT4,"['coa_c', 'odecoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_1_c']",AGPAT1_18_0_18_1,platelet metabolism,Q9NRZ5
60,AGPAT4,"['coa_c', 'odecoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_1_c']",AGPAT1_18_0_18_1,platelet metabolism,Q9H0P7
61,AGPAT4,"['coa_c', 'stcoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_0_c']",AGPAT1_18_0_18_0,platelet metabolism,Q9NRZ5
62,AGPAT4,"['coa_c', 'stcoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_0_c']",AGPAT1_18_0_18_0,platelet metabolism,Q9H0P7
63,AGPAT4,"['pa_hs_16_0_20_4_c', 'coa_c', 'arachdcoa_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_20_4,platelet metabolism,Q9NRZ5
64,AGPAT4,"['pa_hs_16_0_20_4_c', 'coa_c', 'arachdcoa_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_20_4,platelet metabolism,Q9H0P7
65,AGPAT4,"['coa_c', 'alpha_hs_16_0_c', 'lnlccoa_c', 'pa_hs_16_0_18_2_c']",AGPAT1_16_0_18_2,platelet metabolism,Q9NRZ5
66,AGPAT4,"['coa_c', 'alpha_hs_16_0_c', 'lnlccoa_c', 'pa_hs_16_0_18_2_c']",AGPAT1_16_0_18_2,platelet metabolism,Q9H0P7
67,AGPAT4,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_18_1_c', 'odecoa_c']",AGPAT1_16_0_18_1,platelet metabolism,Q9NRZ5
68,AGPAT4,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_18_1_c', 'odecoa_c']",AGPAT1_16_0_18_1,platelet metabolism,Q9H0P7
69,AGPAT4,"['coa_c', 'pa_hs_20_4_20_4_c', 'arachdcoa_c', 'alpha_hs_20_4_c']",AGPAT1_20_4_20_4,platelet metabolism,Q9NRZ5
70,AGPAT4,"['coa_c', 'pa_hs_20_4_20_4_c', 'arachdcoa_c', 'alpha_hs_20_4_c']",AGPAT1_20_4_20_4,platelet metabolism,Q9H0P7
71,AGPAT4,"['coa_c', 'stcoa_c', 'pa_hs_16_0_18_0_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_18_0,platelet metabolism,Q9NRZ5
72,AGPAT4,"['coa_c', 'stcoa_c', 'pa_hs_16_0_18_0_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_18_0,platelet metabolism,Q9H0P7
73,AGPAT4,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_16_0_c', 'pmtcoa_c']",AGPAT1_16_0_16_0,platelet metabolism,Q9NRZ5
74,AGPAT4,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_16_0_c', 'pmtcoa_c']",AGPAT1_16_0_16_0,platelet metabolism,Q9H0P7
75,AGPAT3,"['pa_hs_18_2_20_4_c', 'arachdcoa_c', 'alpha_hs_18_2_c', 'coa_c']",AGPAT1_18_2_20_4,platelet metabolism,Q9NRZ7
76,AGPAT3,"['pa_hs_18_2_18_2_c', 'coa_c', 'lnlccoa_c', 'alpha_hs_18_2_c']",AGPAT1_18_2_18_2,platelet metabolism,Q9NRZ7
77,AGPAT3,"['coa_c', 'alpha_hs_18_1_c', 'pa_hs_18_1_20_4_c', 'arachdcoa_c']",AGPAT1_18_1_20_4,platelet metabolism,Q9NRZ7
78,AGPAT3,"['alpha_hs_18_1_c', 'coa_c', 'pa_hs_18_1_18_2_c', 'lnlccoa_c']",AGPAT1_18_1_18_2,platelet metabolism,Q9NRZ7
79,AGPAT3,"['pa_hs_18_1_18_1_c', 'coa_c', 'odecoa_c', 'alpha_hs_18_1_c']",AGPAT1_18_1_18_1,platelet metabolism,Q9NRZ7
80,AGPAT3,"['coa_c', 'pa_hs_18_0_20_4_c', 'arachdcoa_c', 'alpha_hs_18_0_c']",AGPAT1_18_0_20_4,platelet metabolism,Q9NRZ7
81,AGPAT3,"['coa_c', 'pa_hs_18_0_18_2_c', 'alpha_hs_18_0_c', 'lnlccoa_c']",AGPAT1_18_0_18_2,platelet metabolism,Q9NRZ7
82,AGPAT3,"['coa_c', 'odecoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_1_c']",AGPAT1_18_0_18_1,platelet metabolism,Q9NRZ7
83,AGPAT3,"['coa_c', 'stcoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_0_c']",AGPAT1_18_0_18_0,platelet metabolism,Q9NRZ7
84,AGPAT3,"['pa_hs_16_0_20_4_c', 'coa_c', 'arachdcoa_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_20_4,platelet metabolism,Q9NRZ7
85,AGPAT3,"['coa_c', 'alpha_hs_16_0_c', 'lnlccoa_c', 'pa_hs_16_0_18_2_c']",AGPAT1_16_0_18_2,platelet metabolism,Q9NRZ7
86,AGPAT3,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_18_1_c', 'odecoa_c']",AGPAT1_16_0_18_1,platelet metabolism,Q9NRZ7
87,AGPAT3,"['coa_c', 'pa_hs_20_4_20_4_c', 'arachdcoa_c', 'alpha_hs_20_4_c']",AGPAT1_20_4_20_4,platelet metabolism,Q9NRZ7
88,AGPAT3,"['coa_c', 'stcoa_c', 'pa_hs_16_0_18_0_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_18_0,platelet metabolism,Q9NRZ7
89,AGPAT3,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_16_0_c', 'pmtcoa_c']",AGPAT1_16_0_16_0,platelet metabolism,Q9NRZ7
90,AGPAT2,"['pa_hs_18_2_20_4_c', 'arachdcoa_c', 'alpha_hs_18_2_c', 'coa_c']",AGPAT1_18_2_20_4,platelet metabolism,O15120
91,AGPAT2,"['pa_hs_18_2_18_2_c', 'coa_c', 'lnlccoa_c', 'alpha_hs_18_2_c']",AGPAT1_18_2_18_2,platelet metabolism,O15120
92,AGPAT2,"['coa_c', 'alpha_hs_18_1_c', 'pa_hs_18_1_20_4_c', 'arachdcoa_c']",AGPAT1_18_1_20_4,platelet metabolism,O15120
93,AGPAT2,"['alpha_hs_18_1_c', 'coa_c', 'pa_hs_18_1_18_2_c', 'lnlccoa_c']",AGPAT1_18_1_18_2,platelet metabolism,O15120
94,AGPAT2,"['pa_hs_18_1_18_1_c', 'coa_c', 'odecoa_c', 'alpha_hs_18_1_c']",AGPAT1_18_1_18_1,platelet metabolism,O15120
95,AGPAT2,"['coa_c', 'pa_hs_18_0_20_4_c', 'arachdcoa_c', 'alpha_hs_18_0_c']",AGPAT1_18_0_20_4,platelet metabolism,O15120
96,AGPAT2,"['coa_c', 'pa_hs_18_0_18_2_c', 'alpha_hs_18_0_c', 'lnlccoa_c']",AGPAT1_18_0_18_2,platelet metabolism,O15120
97,AGPAT2,"['coa_c', 'odecoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_1_c']",AGPAT1_18_0_18_1,platelet metabolism,O15120
98,AGPAT2,"['coa_c', 'stcoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_0_c']",AGPAT1_18_0_18_0,platelet metabolism,O15120
99,AGPAT2,"['pa_hs_16_0_20_4_c', 'coa_c', 'arachdcoa_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_20_4,platelet metabolism,O15120
100,AGPAT2,"['coa_c', 'alpha_hs_16_0_c', 'lnlccoa_c', 'pa_hs_16_0_18_2_c']",AGPAT1_16_0_18_2,platelet metabolism,O15120
101,AGPAT2,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_18_1_c', 'odecoa_c']",AGPAT1_16_0_18_1,platelet metabolism,O15120
102,AGPAT2,"['coa_c', 'pa_hs_20_4_20_4_c', 'arachdcoa_c', 'alpha_hs_20_4_c']",AGPAT1_20_4_20_4,platelet metabolism,O15120
103,AGPAT2,"['coa_c', 'stcoa_c', 'pa_hs_16_0_18_0_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_18_0,platelet metabolism,O15120
104,AGPAT2,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_16_0_c', 'pmtcoa_c']",AGPAT1_16_0_16_0,platelet metabolism,O15120
105,AGPAT6,"['pa_hs_18_2_20_4_c', 'arachdcoa_c', 'alpha_hs_18_2_c', 'coa_c']",AGPAT1_18_2_20_4,platelet metabolism,Q86UL3
106,AGPAT6,"['pa_hs_18_2_18_2_c', 'coa_c', 'lnlccoa_c', 'alpha_hs_18_2_c']",AGPAT1_18_2_18_2,platelet metabolism,Q86UL3
107,AGPAT6,"['coa_c', 'alpha_hs_18_1_c', 'pa_hs_18_1_20_4_c', 'arachdcoa_c']",AGPAT1_18_1_20_4,platelet metabolism,Q86UL3
108,AGPAT6,"['alpha_hs_18_1_c', 'coa_c', 'pa_hs_18_1_18_2_c', 'lnlccoa_c']",AGPAT1_18_1_18_2,platelet metabolism,Q86UL3
109,AGPAT6,"['pa_hs_18_1_18_1_c', 'coa_c', 'odecoa_c', 'alpha_hs_18_1_c']",AGPAT1_18_1_18_1,platelet metabolism,Q86UL3
110,AGPAT6,"['coa_c', 'pa_hs_18_0_20_4_c', 'arachdcoa_c', 'alpha_hs_18_0_c']",AGPAT1_18_0_20_4,platelet metabolism,Q86UL3
111,AGPAT6,"['coa_c', 'pa_hs_18_0_18_2_c', 'alpha_hs_18_0_c', 'lnlccoa_c']",AGPAT1_18_0_18_2,platelet metabolism,Q86UL3
112,AGPAT6,"['coa_c', 'odecoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_1_c']",AGPAT1_18_0_18_1,platelet metabolism,Q86UL3
113,AGPAT6,"['coa_c', 'stcoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_0_c']",AGPAT1_18_0_18_0,platelet metabolism,Q86UL3
114,AGPAT6,"['pa_hs_16_0_20_4_c', 'coa_c', 'arachdcoa_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_20_4,platelet metabolism,Q86UL3
115,AGPAT6,"['coa_c', 'alpha_hs_16_0_c', 'lnlccoa_c', 'pa_hs_16_0_18_2_c']",AGPAT1_16_0_18_2,platelet metabolism,Q86UL3
116,AGPAT6,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_18_1_c', 'odecoa_c']",AGPAT1_16_0_18_1,platelet metabolism,Q86UL3
117,AGPAT6,"['coa_c', 'pa_hs_20_4_20_4_c', 'arachdcoa_c', 'alpha_hs_20_4_c']",AGPAT1_20_4_20_4,platelet metabolism,Q86UL3
118,AGPAT6,"['coa_c', 'stcoa_c', 'pa_hs_16_0_18_0_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_18_0,platelet metabolism,Q86UL3
119,AGPAT6,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_16_0_c', 'pmtcoa_c']",AGPAT1_16_0_16_0,platelet metabolism,Q86UL3
120,AGPAT5,"['pa_hs_18_2_20_4_c', 'arachdcoa_c', 'alpha_hs_18_2_c', 'coa_c']",AGPAT1_18_2_20_4,platelet metabolism,Q9NUQ2
121,AGPAT5,"['pa_hs_18_2_18_2_c', 'coa_c', 'lnlccoa_c', 'alpha_hs_18_2_c']",AGPAT1_18_2_18_2,platelet metabolism,Q9NUQ2
122,AGPAT5,"['coa_c', 'alpha_hs_18_1_c', 'pa_hs_18_1_20_4_c', 'arachdcoa_c']",AGPAT1_18_1_20_4,platelet metabolism,Q9NUQ2
123,AGPAT5,"['alpha_hs_18_1_c', 'coa_c', 'pa_hs_18_1_18_2_c', 'lnlccoa_c']",AGPAT1_18_1_18_2,platelet metabolism,Q9NUQ2
124,AGPAT5,"['pa_hs_18_1_18_1_c', 'coa_c', 'odecoa_c', 'alpha_hs_18_1_c']",AGPAT1_18_1_18_1,platelet metabolism,Q9NUQ2
125,AGPAT5,"['coa_c', 'pa_hs_18_0_20_4_c', 'arachdcoa_c', 'alpha_hs_18_0_c']",AGPAT1_18_0_20_4,platelet metabolism,Q9NUQ2
126,AGPAT5,"['coa_c', 'pa_hs_18_0_18_2_c', 'alpha_hs_18_0_c', 'lnlccoa_c']",AGPAT1_18_0_18_2,platelet metabolism,Q9NUQ2
127,AGPAT5,"['coa_c', 'odecoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_1_c']",AGPAT1_18_0_18_1,platelet metabolism,Q9NUQ2
128,AGPAT5,"['coa_c', 'stcoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_0_c']",AGPAT1_18_0_18_0,platelet metabolism,Q9NUQ2
129,AGPAT5,"['pa_hs_16_0_20_4_c', 'coa_c', 'arachdcoa_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_20_4,platelet metabolism,Q9NUQ2
130,AGPAT5,"['coa_c', 'alpha_hs_16_0_c', 'lnlccoa_c', 'pa_hs_16_0_18_2_c']",AGPAT1_16_0_18_2,platelet metabolism,Q9NUQ2
131,AGPAT5,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_18_1_c', 'odecoa_c']",AGPAT1_16_0_18_1,platelet metabolism,Q9NUQ2
132,AGPAT5,"['coa_c', 'pa_hs_20_4_20_4_c', 'arachdcoa_c', 'alpha_hs_20_4_c']",AGPAT1_20_4_20_4,platelet metabolism,Q9NUQ2
133,AGPAT5,"['coa_c', 'stcoa_c', 'pa_hs_16_0_18_0_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_18_0,platelet metabolism,Q9NUQ2
134,AGPAT5,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_16_0_c', 'pmtcoa_c']",AGPAT1_16_0_16_0,platelet metabolism,Q9NUQ2
135,AGPAT1,"['pa_hs_18_2_20_4_c', 'arachdcoa_c', 'alpha_hs_18_2_c', 'coa_c']",AGPAT1_18_2_20_4,platelet metabolism,Q99943
136,AGPAT1,"['pa_hs_18_2_18_2_c', 'coa_c', 'lnlccoa_c', 'alpha_hs_18_2_c']",AGPAT1_18_2_18_2,platelet metabolism,Q99943
137,AGPAT1,"['coa_c', 'alpha_hs_18_1_c', 'pa_hs_18_1_20_4_c', 'arachdcoa_c']",AGPAT1_18_1_20_4,platelet metabolism,Q99943
138,AGPAT1,"['alpha_hs_18_1_c', 'coa_c', 'pa_hs_18_1_18_2_c', 'lnlccoa_c']",AGPAT1_18_1_18_2,platelet metabolism,Q99943
139,AGPAT1,"['pa_hs_18_1_18_1_c', 'coa_c', 'odecoa_c', 'alpha_hs_18_1_c']",AGPAT1_18_1_18_1,platelet metabolism,Q99943
140,AGPAT1,"['coa_c', 'pa_hs_18_0_20_4_c', 'arachdcoa_c', 'alpha_hs_18_0_c']",AGPAT1_18_0_20_4,platelet metabolism,Q99943
141,AGPAT1,"['coa_c', 'pa_hs_18_0_18_2_c', 'alpha_hs_18_0_c', 'lnlccoa_c']",AGPAT1_18_0_18_2,platelet metabolism,Q99943
142,AGPAT1,"['coa_c', 'odecoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_1_c']",AGPAT1_18_0_18_1,platelet metabolism,Q99943
143,AGPAT1,"['coa_c', 'stcoa_c', 'alpha_hs_18_0_c', 'pa_hs_18_0_18_0_c']",AGPAT1_18_0_18_0,platelet metabolism,Q99943
144,AGPAT1,"['pa_hs_16_0_20_4_c', 'coa_c', 'arachdcoa_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_20_4,platelet metabolism,Q99943
145,AGPAT1,"['coa_c', 'alpha_hs_16_0_c', 'lnlccoa_c', 'pa_hs_16_0_18_2_c']",AGPAT1_16_0_18_2,platelet metabolism,Q99943
146,AGPAT1,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_18_1_c', 'odecoa_c']",AGPAT1_16_0_18_1,platelet metabolism,Q99943
147,AGPAT1,"['coa_c', 'pa_hs_20_4_20_4_c', 'arachdcoa_c', 'alpha_hs_20_4_c']",AGPAT1_20_4_20_4,platelet metabolism,Q99943
148,AGPAT1,"['coa_c', 'stcoa_c', 'pa_hs_16_0_18_0_c', 'alpha_hs_16_0_c']",AGPAT1_16_0_18_0,platelet metabolism,Q99943
149,AGPAT1,"['coa_c', 'alpha_hs_16_0_c', 'pa_hs_16_0_16_0_c', 'pmtcoa_c']",AGPAT1_16_0_16_0,platelet metabolism,Q99943
150,PLCL1,"['h2o_c', 'pail45p_hs_18_2_18_2_c', 'mi145p_c', 'h_c', 'dag_hs_18_2_18_2_c']",PI45PLC_18_2_18_2,platelet metabolism,Q15111
151,PLCL1,"['h2o_c', 'dag_hs_18_2_18_2_c', 'mi14p_c', 'h_c', 'pail4p_hs_18_2_18_2_c']",PI4PLC_18_2_18_2,platelet metabolism,Q15111
152,PLCL1,"['h2o_c', 'dag_hs_18_2_18_2_c', 'mi1p__D_c', 'h_c', 'pail_hs_18_2_18_2_c']",PIPLC_18_2_18_2,platelet metabolism,Q15111
153,PLCL1,"['h2o_c', 'mi145p_c', 'dag_hs_18_1_20_4_c', 'h_c', 'pail45p_hs_18_1_20_4_c']",PI45PLC_18_1_20_4,platelet metabolism,Q15111
154,PLCL1,"['h2o_c', 'h_c', 'dag_hs_18_1_20_4_c', 'pail4p_hs_18_1_20_4_c', 'mi14p_c']",PI4PLC_18_1_20_4,platelet metabolism,Q15111
